feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
KEGG124	ST	1290	0.987956356131712	0.0068811183559576	1346	1346	0	0
KEGG124	ST	15	0.994804128507479	0.00345194901477458	1346	1346	0	0
KEGG124	ST	398	1.00527475029917	0.0090519439267593	1346	1346	0	0
KEGG40	ST	8	-0.262946179283801	0.00317181151839802	1346	1346	1.19319629109652e-210	4.59082272999384e-208
KEGG40	ST	15	-0.266088957488977	0.00289541701066013	1346	1346	2.30412478032844e-193	7.09209607385093e-191
KEGG40	ST	582	-0.270711342490218	0.00452149073667303	1346	1346	5.71711339973526e-169	1.4664395870321e-166
KEGG124	ST	188	0.987616010107004	0.0239759254648854	1346	1346	1.72004606004615e-96	3.78164412344433e-94
KEGG124	ST	582	0.986100322766012	0.023950918088108	1346	1346	3.25173051179512e-96	6.25551657206587e-94
KEGG124	ST	109	0.982659152605491	0.0335347277944317	1346	1346	5.36623382822232e-72	9.17625984626017e-70
KEGG124	ST	121	0.975967386126177	0.0409012472328781	1346	1346	1.17069780974311e-58	1.80170392919465e-56
KEGG61	ST	121	0.203348332092683	0.0132524898833908	1346	1346	1.67177428724394e-35	2.33896420733494e-33
KEGG64	ST	1290	-0.265741289366078	0.0237994128857962	1346	1346	1.43668955249126e-27	1.84255435107005e-25
KEGG64	ST	15	-0.108645344721623	0.0115388689744689	1346	1346	2.84961249888439e-20	3.37350279675621e-18
KEGG56	ST	6	-0.228783660060527	0.0254810482593155	1346	1346	2.84258981469293e-18	3.12481837486602e-16
KEGG56	ST	30	0.13415632561479	0.0162637939966619	1346	1346	1.21813260859468e-15	1.24980405641815e-13
KEGG26	ST	97	0.196750918789663	0.0252051638696329	1346	1346	1.3308997344984e-14	1.28015918212065e-12
KEGG26	ST	30	-0.142366528944074	0.0188257283742562	1346	1346	1.37979796712475e-13	1.24912298317941e-11
KEGG31	ST	30	1.4268482460392	0.190542976577051	1346	1058	4.59678254440091e-13	3.93024907546278e-11
KEGG64	ST	7	0.110479439925099	0.0170151246131032	1346	1346	1.22749228647279e-10	9.94268752042956e-09
KEGG58	ST	15	0.0430196768734098	0.00681751416228525	1346	1346	5.61597342135039e-10	4.32149154772912e-08
KEGG63	ST	30	-0.0119749274710648	0.00197648219716415	1346	1346	4.13799401302558e-09	2.89471490274835e-07
KEGG74	ST	30	-0.0120585217204937	0.00198921813799716	1346	1346	4.03482595092941e-09	2.89471490274835e-07
KEGG31	ST	39	1.81993444641662	0.308671247341102	1346	1058	6.60599775028104e-09	4.42027414681849e-07
KEGG47	ST	30	-0.0134094104493777	0.00223244201693008	1346	1346	7.02989242273567e-09	4.50791851607925e-07
KEGG69	ST	30	-0.0124999532265482	0.00222858490327251	1346	1346	4.14732589739878e-08	2.55309382243869e-06
KEGG58	ST	97	0.0532944907595595	0.00965012186992496	1346	1346	4.32586640762552e-08	2.56058015435987e-06
KEGG2	ST	97	0.0274890346434197	0.00532902437274392	1346	1346	3.02333019377886e-07	1.72329821045395e-05
KEGG58	ST	5	0.0348095674671411	0.00683106896431568	1346	1346	5.26362571185605e-07	2.89311427519516e-05
KEGG55	ST	30	-0.0137672233079193	0.002764661867458	1346	1346	8.28515361568635e-07	4.2502838048471e-05
KEGG68	ST	30	-0.0137665194441294	0.00276438530224282	1346	1346	8.27584280653531e-07	4.2502838048471e-05
KEGG4	ST	30	-0.0144491459402271	0.0029860237310459	1346	1346	1.57527776899707e-06	7.8204918918919e-05
KEGG58	ST	45	0.0393988395071247	0.00807824200284786	1346	1346	1.76773616736242e-06	8.50170612990863e-05
KEGG31	ST	97	-1.29823351737175	0.273880188628391	1346	1058	2.45447079360064e-06	0.000114467592465194
